Confirmed,Cured,Date,Deaths,State/UnionTerritory
0.0,0.0,30/01/20,0.0,Karnataka
0.0,0.0,31/01/20,0.0,Karnataka
0.0,0.0,01/02/20,0.0,Karnataka
0.0,0.0,02/02/20,0.0,Karnataka
0.0,0.0,03/02/20,0.0,Karnataka
0.0,0.0,04/02/20,0.0,Karnataka
0.0,0.0,05/02/20,0.0,Karnataka
0.0,0.0,06/02/20,0.0,Karnataka
0.0,0.0,07/02/20,0.0,Karnataka
0.0,0.0,08/02/20,0.0,Karnataka
0.0,0.0,09/02/20,0.0,Karnataka
0.0,0.0,10/02/20,0.0,Karnataka
0.0,0.0,11/02/20,0.0,Karnataka
0.0,0.0,12/02/20,0.0,Karnataka
0.0,0.0,13/02/20,0.0,Karnataka
0.0,0.0,14/02/20,0.0,Karnataka
0.0,0.0,15/02/20,0.0,Karnataka
0.0,0.0,16/02/20,0.0,Karnataka
0.0,0.0,17/02/20,0.0,Karnataka
0.0,0.0,18/02/20,0.0,Karnataka
0.0,0.0,19/02/20,0.0,Karnataka
0.0,0.0,20/02/20,0.0,Karnataka
0.0,0.0,21/02/20,0.0,Karnataka
0.0,0.0,22/02/20,0.0,Karnataka
0.0,0.0,23/02/20,0.0,Karnataka
0.0,0.0,24/02/20,0.0,Karnataka
0.0,0.0,25/02/20,0.0,Karnataka
0.0,0.0,26/02/20,0.0,Karnataka
0.0,0.0,27/02/20,0.0,Karnataka
0.0,0.0,28/02/20,0.0,Karnataka
0.0,0.0,29/02/20,0.0,Karnataka
0.0,0.0,01/03/20,0.0,Karnataka
0.0,0.0,02/03/20,0.0,Karnataka
0.0,0.0,03/03/20,0.0,Karnataka
0.0,0.0,04/03/20,0.0,Karnataka
0.0,0.0,05/03/20,0.0,Karnataka
0.0,0.0,06/03/20,0.0,Karnataka
0.0,0.0,07/03/20,0.0,Karnataka
0.0,0.0,08/03/20,0.0,Karnataka
1.0,0.0,09/03/20,0.0,Karnataka
4.0,0.0,10/03/20,0.0,Karnataka
4.0,0.0,11/03/20,0.0,Karnataka
4.0,0.0,12/03/20,0.0,Karnataka
6.0,0.0,13/03/20,1.0,Karnataka
6.0,0.0,14/03/20,1.0,Karnataka
6.0,0.0,15/03/20,1.0,Karnataka
6.0,0.0,16/03/20,1.0,Karnataka
11.0,0.0,17/03/20,1.0,Karnataka
11.0,0.0,18/03/20,1.0,Karnataka
14.0,0.0,19/03/20,1.0,Karnataka
15.0,1.0,20/03/20,1.0,Karnataka
15.0,1.0,21/03/20,1.0,Karnataka
26.0,2.0,22/03/20,1.0,Karnataka
33.0,2.0,23/03/20,1.0,Karnataka
37.0,3.0,24/03/20,1.0,Karnataka
41.0,3.0,25/03/20,1.0,Karnataka
55.0,3.0,26/03/20,2.0,Karnataka
55.0,3.0,27/03/20,2.0,Karnataka
55.0,3.0,28/03/20,2.0,Karnataka
76.0,5.0,29/03/20,3.0,Karnataka
83.0,5.0,30/03/20,3.0,Karnataka
83.0,5.0,31/03/20,3.0,Karnataka
101.0,8.0,01/04/20,3.0,Karnataka
110.0,9.0,02/04/20,3.0,Karnataka
124.0,10.0,03/04/20,3.0,Karnataka
128.0,12.0,04/04/20,3.0,Karnataka
144.0,12.0,05/04/20,4.0,Karnataka
151.0,12.0,06/04/20,4.0,Karnataka
175.0,25.0,07/04/20,4.0,Karnataka
175.0,25.0,08/04/20,4.0,Karnataka
181.0,28.0,09/04/20,5.0,Karnataka
